Age in completed years,Years of +2  (or equivalent) Completed ,Gender,Faculty,Resident Type,Please indicate your level of agreement with each of the following statements [I have basic knowledge of IBM SPSS Statistics.],Please indicate your level of agreement with each of the following statements [I can use SPSS for data entry and management.],Please indicate your level of agreement with each of the following statements [I can use SPSS for simple data preparation.],,
20,3,0,1,3,4,3,3,3,5
24,4,0,1,3,3,4,3,4,5
18,2,0,1,3,3,3,3,3,5
19,2,0,1,3,3,3,3,3,5
22,2,0,2,3,2,2,2,5,5
27,9,0,2,3,4,4,4,5,5
19,2,0,1,3,3,3,3,3,5
22,4,1,2,3,4,3,3,3,5
20,2,0,1,3,3,3,3,3,5
20,3,0,1,3,3,5,4,4,5
20,2,0,1,3,5,5,5,5,5
20,2,0,2,3,2,2,2,2,5
20,2,0,1,3,4,2,3,4,5
22,2,0,1,3,3,3,3,3,5
18,2,1,1,3,2,2,3,3,5
23,3,0,2,3,4,4,4,4,5
24,4,0,1,3,4,5,5,5,5
20,2,0,1,3,3,3,3,3,5
20,1,0,3,3,3,4,4,4,5
21,3,0,1,3,3,3,3,3,5
19,1,0,3,3,4,5,5,5,5
18,1,1,3,3,4,3,4,4,5
24,4,,1,3,5,5,4,4,5
18,2,0,3,3,2,2,2,2,5
19,2,1,1,3,4,4,4,4,5
19,2,1,1,3,3,4,4,2,5
20,2,0,3,3,3,3,3,3,5
18,1,0,3,3,3,3,3,3,5
25,5,1,1,3,2,2,2,2,5
21,2,0,1,3,2,2,2,2,5
21,,0,1,3,3,3,3,3,5
24,4,0,2,3,2,2,2,2,5
24,3,0,1,3,2,2,2,2,5
21,4,1,2,3,4,3,3,3,5
23,2,1,1,3,1,2,2,1,5
23,2,1,2,3,4,4,4,4,5
22,4,1,1,3,2,3,3,4,5
23,1,0,1,3,2,2,2,2,5
35,6,1,4,3,3,5,3,4,5
22,2,1,2,3,4,4,4,1,5
21,4,1,2,3,4,3,3,3,5
21,4,1,2,3,4,3,3,3,5
22,4,1,2,3,4,3,3,3,5
21,1,1,1,3,3,3,3,3,5
21,2,0,1,3,2,3,5,5,5
24,5,,2,3,4,4,4,4,5
22,2,1,2,3,4,1,4,1,5
22,1,1,1,3,3,4,4,3,5
18,2,0,1,3,3,3,3,3,5
21,1,0,1,3,2,3,3,3,5
23,2,1,2,3,3,4,4,4,5
24,4,0,2,3,3,3,3,3,5
23,3,1,2,3,1,1,1,1,5
22,2,0,1,3,3,5,5,5,5
26,3,0,2,3,4,4,4,4,5
23,3,1,1,3,2,2,2,2,5
22,2,0,2,3,2,2,2,5,5
23,4,0,1,3,4,4,4,3,5
23,4,0,1,3,2,2,2,2,5
24,5,0,1,3,3,5,5,5,5
24,4,0,1,3,3,3,3,3,5
20,3,1,2,3,3,4,4,4,5
20,3,1,2,3,3,4,4,4,5
20,3,1,2,3,4,4,4,5,5
22,4,0,1,3,3,5,5,5,5
25,5,0,1,3,3,2,3,2,5
20,4,1,1,3,3,3,3,3,5
22,3,1,2,3,2,2,2,2,5
22,4,,2,3,2,2,2,2,5